PUBLICADO	NIVEL	DEPARTAMENTO	ESCUELA	ZONA	CARGO	HORAS	TURNO	MATERIA	LLAMADO	DOMICILIO ESCUELA	ARTICULO	CURSO	HORARIO	PRESENTARSE EN	PRIORIDAD	CONDICIONES	OBSERVACIONES	MOVILIDAD	ESTADO	MOTIVO DE CANCELACIÓN
06/07/22 11:31	Secundario Orientado	JUNIN	4135 - SAN MARTÍN LABRADOR	80%	REGENTE		Alternado	REGENTE	1er: 28/07/22 18:00	TIBURCIO BENEGAS - B.TAMARINDO S/N B° Barrio Tamarindo . LOS BARRIALES	Cargo vacante		Lu 08:00-13:00,Ma 13:30-18:30,Mi 13:30-18:30,Ju 13:30-18:30,Vi 13:30-18:30	En el local de la Escuela		Podrán concursar los profesores titulares de la Escuela, con título docente para nivel medio o habilitante de nivel universitario y con una antigüedad en el nivel medio provincial de 7 (siete) años, según los términos de la Resolución 047-DGE-03	Desde el día 07/07/22 hasta 28/07/22, los postulantes se podrán inscribir en el domicilio y horario de la Escuela presentando la documentación correspondiente.		Publicado	
06/07/22 11:01	Secundario Orientado	GUAYMALLÉN	4153 - PROFESOR LUIS QUESADA	80%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Producción Artística Interdisciplinar (PP 1)	4vo: 28/07/22 11:00	ALLAYME 3281 B° EL BERMEJO . BERMEJO	Art. 40	4° 1ª	Ma 16:30-17:10,Ma 17:10-17:50,Ma 17:50-18:30	Presentarse en GEM PAD - Llamado Virtual					Publicado	
06/07/22 10:04	Secundario Orientado	GUAYMALLÉN	4153 - PROFESOR LUIS QUESADA	80%	HORAS CATEDRA MEDIA ORIENTADA	8	Mañana y Tarde	Prácticas de Producción en el Espacio Público	4vo: 27/07/22 10:00	ALLAYME 3281 B° EL BERMEJO . BERMEJO	Art. 40	3° 3	Lu 13:30-14:10,Lu 14:10-14:50,Lu 15:00-15:40,Ma 09:30-10:10,Ma 10:10-10:50,Ma 11:00-11:40,Mi 10:10-10:50,Mi 11:00-11:40	Presentarse en GEM PAD - Llamado Virtual					Publicado	
05/07/22 12:05	CEBJA	LUJÁN DE CUYO	3251/2 - JUAN MARTÍN GIMÉNEZ	80%	HORAS CATEDRA ADULTOS	1	Tarde	Educación Física	8vo: 26/07/22 11:00	RUTA PROVINCIAL N° 82 KM 22 B° Delegación Las Compuertas . LAS COMPUERTAS	Cargo vacante	1° CBNS 2°	Ma 14:30-15:10	dge3251@mendoza.edu.ar				NO COINCIDENTE-SIN MOVILIDAD	Publicado	
01/07/22 12:13 | Cancelado	Centro de Capacitación para el Trabajo	MAIPÚ	6306 - SRA. MÓNICA SARA TRAMONTINA	10%	HORAS CATEDRA ADULTOS	9	Vespertino	REPARACIÓN DE RADIO - AUDIO Y TV	3er: 04/08/22 12:00	EL TUCUMANO 3093 B° Ferroviario . LUZURIAGA	Art 40	Curso ELECTRONICA	Ma 18:30-21:30,Mi 18:30-21:30,Ju 18:30-21:30	Presentarse en GEM PAD - Llamado Virtual					Cancelado	FECHA ERRONEA
30/06/22 21:15 | Cancelado	Centro de Capacitación para el Trabajo	LAS HERAS	6027 - CARLINA DE ZANONA	0%	HORAS CATEDRA ADULTOS	3	Vespertino	Nutrición y Cocina Saludable	4vo: 01/08/22 21:10	DEMOCRACIA S/N B° B° UJEMVI . EL PLUMERILLO	Cargo vacante	Modulo V 2022 GASTRONOMÍA		Presentarse en cct6-027sup@gmail.com GEM PAD - Llamado Virtual en 4° llamdo por ser formacion profesional		acreditación en el área		608-607	Cancelado	error en la fecha
30/06/22 20:51 | Cancelado	Centro de Capacitación para el Trabajo	TUPUNGATO	6205 - DR. MIGUEL VALERIANO JAIME	80%	HORAS CATEDRA ADULTOS	3	Mañana	Diseño de Indumentaria y Objetos Textiles	7mo: 01/08/22 21:00	BELGRANO NORTE 1650 . TUPUNGATO	Cargo vacante	Modulo IX DISEÑO MOD IX 22	Lu 08:00-11:00	Presentar documentación para 7° llamado al correo de la escuela: cct6205sup@gmail.com. . Enviar carpeta de antecedentes en un PDF unificado - Adjuntar certificado de antecedentes penales.		DIA Y HORA DE CLASES: LUNES - Hora: 08:00 a 11:00 MOVILIDAD: TRANSPORTE CATA Y MITRE	CURSO FP - DE TEXTIL - NIVEL II - MÓDULO IX	Cata y Mitre	Cancelado	ERROR DE FECHA
30/06/22 20:21 | Cancelado	Centro de Capacitación para el Trabajo	LAS HERAS	6027 - CARLINA DE ZANONA	0%	HORAS CATEDRA ADULTOS	4	Vespertino	Idioma Aplicado al Sector Gastronómico	4vo: 30/07/22 20:15	DEMOCRACIA S/N B° B° UJEMVI . EL PLUMERILLO	Cargo vacante	Modulo VI 2022 GASTRONOMÍA		Presentarse en GEM PAD cct6027@gmail.com - Llamado Virtual en 4° llamdo por ser formacion profesional		acreditación en el área, antiguedad según res. vigente		608-607	Cancelado	error en la fecha
30/06/22 20:07 | Cancelado	CEBJA	GUAYMALLÉN	3007 - NEMECIO QUIROGA	60%	HORAS CATEDRA ADULTOS	5	Vespertino	T.I.C.	1er: 01/08/22 20:00	LEMOS 2089 . PEDRO MOLINA	56	"Grado Múltiple ""A"", ""B"""	Lu 18:15-21:15,Lu 19:30-20:30,Mi 18:15-20:15	Presentarse en GEM PAD - Llamado Virtual			Correo institucional: cebja3007@gmail.com		Cancelado	error en el mes
30/06/22 19:17 | Cancelado	Centro de Capacitación para el Trabajo	SAN MARTÍN	6021 - OLIMPIA A. DE PONCE	40%	HORAS CATEDRA ADULTOS	6	Vespertino	75	2do: 01/08/22 19:00	SALTA 200 B° DON BOSCO . PALMIRA	Horas vacante	INGLÉS BÁSICO NIVEL I	Ju 18:00-21:00	Presentarse en GEM PAD - Llamado Virtual	Bono CCT	Presentarse con documentación según reglamentación vigente.	Se recibirá documentación válida solo las ingresadas hasta las 19 hs	700 y 750	Cancelado	Mal indicada la fecha del Ofrecimiento (corresponde Julio)
30/06/22 16:03	Secundario Técnico	SAN RAFAEL	4114 - MANUEL BELGRANO	80%	HORAS CATEDRA MEDIA TÉCNICA	10	Alternado	AREA 13 CODIGOS: 197/28/3/52	2do: 01/08/22 16:00	AV. SARMIENTO 349 B° SALTO DE LAS ROSAS . CAÑADA SECA	Cargo vacante	Múltiple Domiciliario-Hospitalario U 6°1°		Presentarse en GEM PAD - Llamado Virtual	AREA 13 SECTOR ELECTRICIDAD: CODIGOS: 197/28/3/52	EL ALTA SE REALIZA AD REFERENDUM DE JUNTA Y ES A TÉRMINO	EL 1°,2° Y 3° LLAMADO SE DEBE PUBLICAR. SOLO SE PUEDE POSTULAR EN EL 4° LLAMADO.	si	Publicado	
30/06/22 16:02	Secundario Técnico	SAN RAFAEL	4114 - MANUEL BELGRANO	80%	HORAS CATEDRA MEDIA TÉCNICA	4	Alternado	AREA 13 CODIGOS 169/399	2do: 01/08/22 16:00	AV. SARMIENTO 349 B° SALTO DE LAS ROSAS . CAÑADA SECA	Cargo vacante	Múltiple Domiciliario-Hospitalario U 6°1°		Presentarse en GEM PAD - Llamado Virtual	AREA 13 CODIGOS 169 MANTENIMOENTO ELECTRICO OBRAS ELECTRICAS/399 PP	EL ALTA SE REALIZA AD REFERENDUM DE JUNTA Y ES A TÉRMINO	EL 1°, 2° Y 3° LLAMADO SE DEBE PUBLICAR. SOLO SE PUEDE POSTULAR EN EL 4° LLAMADO.	SI	Publicado	
30/06/22 16:01	Secundario Técnico	SAN RAFAEL	4114 - MANUEL BELGRANO	80%	HORAS CATEDRA MEDIA TÉCNICA	2		AREA 3 CODIGO 129 PSICOLOGIA LABORAL	2do: 01/08/22 16:00	AV. SARMIENTO 349 B° SALTO DE LAS ROSAS . CAÑADA SECA	Cargo vacante	6°1°		Presentarse en GEM PAD - Llamado Virtual	AREA 3 CODIGO 129 PSICOLOGIA LABORAL	EL ALTA SE REALIZA AD REFERENDUM DE JUNTA Y ES A TÉRMINO	EL 1°,2° Y 3° LLAMADO SE DEBE PUBLICAR. SOLO SE PUEDE POSTULAR EN EL 4° LLAMADO.		Publicado	
30/06/22 15:59	Secundario Técnico	SAN RAFAEL	4114 - MANUEL BELGRANO	80%	HORAS CATEDRA MEDIA TÉCNICA	4		AREA 13 COD. 34 - AREA 9 COD. 204	2do: 01/08/22 15:55	AV. SARMIENTO 349 B° SALTO DE LAS ROSAS . CAÑADA SECA	Cargo vacante	6°1°		Presentarse en GEM PAD - Llamado Virtual	AREA 13 COD. 34 SEGURIDAD E HIGIENE- AREA 9 COD. 204 MARCO JURIDICO	EL ALTA SE REALIZA AD REFERENDUM DE JUNTA Y ES A TERMINO	EL 1°,2° Y 3° LLAMADO SE DEBE PUBLICAR. SOLO SE PUEDE POSTULAR EN EL 4° LLAMADO.	si	Publicado	
30/06/22 15:06 | Cancelado	Secundario Técnico	TUNUYÁN	4107 - EJÉRCITO ARGENTINO	80%	AYUDANTE DE TRABAJOS PRACTICOS		Mañana		4vo: 01/08/22 16:00	25 DE NOVIEMBRE 1730 . TUNUYÁN	40-0		Lu 07:45-11:45,Ma 07:45-11:45,Mi 07:45-11:45,Ju 07:45-11:45,Vi 07:45-11:45	Presentarse en GEM PAD - Llamado Virtual			Licencia ART. 40 hasta el 09/07/2022	cata y mitre	Cancelado	error en la fecha del llamado
30/06/22 14:49 | Cancelado	Secundario Técnico	TUNUYÁN	4107 - EJÉRCITO ARGENTINO	80%	HORAS CATEDRA MEDIA TÉCNICA	4	Tarde	Prácticas Profesionalizantes (*)	3er: 01/08/22 15:00	25 DE NOVIEMBRE 1730 . TUNUYÁN	Cargo vacante	5° 4	Vi 07:45-10:35	Presentarse en GEM PAD - Llamado Virtual			Licencia Art. 40, hasta el 08/07/2022	cata y mitre	Cancelado	ERROR EN LA FECHA
30/06/22 14:24 | Cancelado	Secundario Técnico	GODOY CRUZ	4109 - ING. ÁLVAREZ CONDARCO	10%	HORAS CATEDRA MEDIA TÉCNICA	3	Tarde	Mecánica de los Fluidos	2do: 01/08/22 14:25	PROGRESO Y VALLE GRANDE S/N B° BATALLA DEL PILAR . SAN FRANCISCO DEL MONTE	Cargo vacante	5° 3º ELECTROMECÁNICA	Lu 17:10-17:50,Lu 17:50-18:30,Vi 13:30-14:10	Presentarse en GEM PAD - Llamado Virtual		presentar documentacion reglamentaria	presentar certificado antecedentes penales		Cancelado	NO CORRESPONDE PUBLICADO 2 VECES
30/06/22 10:55 | Cancelado	Secundario Técnico	LAVALLE	4161 - JOSE MIGUEL GRANEROS	110%	HORAS CATEDRA MEDIA TÉCNICA	3	Mañana	Acondicionamiento de Frutas y Hortalizas	1er: 01/08/22 08:30	CALLE MOYANO S/N B° LA FLORESTA I . GUSTAVO ANDRE	Cargo vacante	6° ÚNICA	Mi 10:50-11:30,Mi 11:40-12:20,Mi 12:20-13:00	Presentarse en GEM PAD - Llamado Virtual				PRESTACIONES S.A	Cancelado	ERROR EN LA FECHA DEL LLAMADO
10/03/22 15:20 | Cancelado	Centro de Capacitación para el Trabajo	LAVALLE	6013 - JUANA MANSO	80%	MAESTRO M.ESPECIALES CAP. LABORAL		Vespertino	Colocador de Muros	3er: 11/12/22 15:30	Blvd Belgrano 454 . COSTA DE ARAUJO	Cargo vacante	Construcciones	Lu 18:30-21:30,Ma 18:30-21:30,Mi 18:30-21:30,Ju 18:30-21:30,Vi 18:30-21:30	Esc. Juana Manso Bv Belgrano 454		Bono de CCT 2018		Prestaciones	Cancelado	error involuntario en la publicación fecha errónea
22/02/22 18:58 | Cancelado	Centro de Capacitación para el Trabajo	LAVALLE	6303 - FRANCISCA GODOY DE MOLINA	80%	MAESTRO M.ESPECIALES CAP. LABORAL		Tarde		1er: 23/10/22 19:00	FLEMING 164 . VILLA TULUMAYA (CIUDAD)	Cargo vacante	Curso INYECCIÓN ELECTRÓNICA	Lu 14:00-18:00,Ma 14:00-18:00,Mi 14:00-18:00,Ju 14:00-18:00,Vi 14:00-18:00	Presentarse en GEM PAD - Llamado Virtual					Cancelado	Error en la fecha
30/11/21 09:15 | Cancelado	CEBJA	TUNUYÁN	3233/1 - ELVIRA GIORDANO DE DALVIT	80%	HORAS CATEDRA ADULTOS	1	Mañana	Educación Artística (C) Artes Visuales	4vo: 01/12/22 10:00	LA ARGENTINA Y GUISASOLA S/N B° EL TOTORAL . TUNUYÁN	Cargo vacante	Grado Múltiple U	Mi 10:00-11:00	Presentarse en GEM PAD - Llamado Virtual		Recepción de documentación reglamentaria en un mismo archivo PDF, ENVIAR AL CORREO OFICIAL DE LA INSTITUCIÓN: dge 3233@mendoza.edu.ar	Documentación requerida: DNI: adverso y reverso Declaración jurada Certificado de aptitud psicofísico Bono de CEBJA ( en caso de poseerlo) Analíticos de secundarioy7o superior Analítico de materias rendidas de carrera de Nivel Superior.		Cancelado	ERROR DE FECHA
11/10/21 06:15 | Cancelado	CEBJA	SAN CARLOS	3060/2 - MTRO ANIBAL MOLINA SIMONOVICH	70%	HORAS CATEDRA ADULTOS	5	Tarde	Lengua	1er: 13/10/24 08:00	Ruta 40 s/n B° Los Robles . EUGENIO BUSTOS	Cargo vacante	1° CBNS 4°	Lu 15:50-16:30,Ma 14:30-15:10,Ma 15:10-15:50,Mi 14:30-15:10,Mi 15:10-15:50	Presentarse en GEM PAD - Llamado Virtual	BONO Modalidad EPJA CBNS vigente	Certificado aptitud Psicofísica especifico y vigente DDJJ cargos y horas - DNI - CUIL	CLASES PRESENCIALES Trabajo Interdisciplinar	CATA	Cancelado	Errose fecha
